Unnamed: 0,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
99,Brunswick,141 Gold St,2,h,845500,S,Nelson,07-05-2016,5.2,3056,2,1,1,179,90,1890,Moreland,-37.7742,144.9542,Northern Metropolitan,11918
101,Brunswick,3/4 Mitchell St,2,t,605000,PI,Jellis,07-05-2016,5.2,3056,2,1,1,0,78,2009,Moreland,-37.7588,144.9646,Northern Metropolitan,11918
103,Brunswick,9/33 Staley St,2,u,445000,S,Walshe,07-05-2016,5.2,3056,2,1,1,0,61,1975,Moreland,-37.7643,144.9638,Northern Metropolitan,11918
104,Brunswick,1/263 Albion St,2,u,659500,S,Walshe,07-11-2016,5.2,3056,2,1,1,100,85,1970,Moreland,-37.7601,144.9581,Northern Metropolitan,11918
105,Brunswick,6/153 Barkly St,2,u,600000,S,Nelson,07-11-2016,5.2,3056,2,1,1,0,75,2011,Moreland,-37.777,144.9703,Northern Metropolitan,11918
109,Brunswick,129 Albion St,4,h,1115000,PI,Jellis,08-10-2016,5.2,3056,4,1,0,264,139,1900,Moreland,-37.7611,144.9677,Northern Metropolitan,11918
111,Brunswick,39 Eveline St,3,h,1125000,S,Jellis,08-10-2016,5.2,3056,3,1,1,278,91,1910,Moreland,-37.7701,144.9633,Northern Metropolitan,11918
112,Brunswick,28 Osborne St,3,h,855000,S,Nelson,08-10-2016,5.2,3056,3,1,1,229,97,1930,Moreland,-37.7622,144.9586,Northern Metropolitan,11918
115,Brunswick,16 Thistle St,3,t,940000,S,Ray,08-10-2016,5.2,3056,3,2,1,186,140,2016,Moreland,-37.7581,144.9514,Northern Metropolitan,11918
117,Brunswick,3/38 Charles St,2,t,750000,PI,Nelson,10-09-2016,5.2,3056,2,2,1,118,88,2013,Moreland,-37.7723,144.9643,Northern Metropolitan,11918
118,Brunswick,73 Davies St,2,h,1056000,S,Nelson,10-09-2016,5.2,3056,2,1,1,315,108,1910,Moreland,-37.757,144.9697,Northern Metropolitan,11918
122,Brunswick,3/5 Evans St,3,u,880000,S,Dingle,10-12-2016,5.2,3056,3,2,1,122,152,2000,Moreland,-37.7697,144.9649,Northern Metropolitan,11918
123,Brunswick,5 MacKenzie St,3,h,1222500,S,Nelson,10-12-2016,5.2,3056,3,1,0,331,126,1890,Moreland,-37.7619,144.959,Northern Metropolitan,11918
128,Brunswick,87 Hope St,3,t,955000,S,Nelson,11-02-2017,5.2,3056,3,2,2,327,110,2007,Moreland,-37.7636,144.9559,Northern Metropolitan,11918
134,Brunswick,1/32 Donald St,2,u,587000,SP,Jellis,12-11-2016,5.2,3056,2,1,1,114,65,1970,Moreland,-37.758,144.9667,Northern Metropolitan,11918
135,Brunswick,98 Evans St,3,h,1060000,S,Nelson,12-11-2016,5.2,3056,3,1,0,257,121,1935,Moreland,-37.7704,144.9695,Northern Metropolitan,11918
138,Brunswick,246 Victoria St,2,h,890000,S,Jellis,12-11-2016,5.2,3056,2,1,1,199,93,1900,Moreland,-37.7676,144.9659,Northern Metropolitan,11918
141,Brunswick,2/12 Jones St,2,t,685000,SP,Jellis,13-08-2016,5.2,3056,2,2,1,0,100,2002,Moreland,-37.7617,144.9642,Northern Metropolitan,11918
145,Brunswick,14 Murdock St,3,h,976000,S,Jellis,14-05-2016,5.2,3056,3,2,1,240,162,2005,Moreland,-37.756,144.9587,Northern Metropolitan,11918
146,Brunswick,8/2 Pottery Ct,3,t,641000,SP,RW,14-05-2016,5.2,3056,3,2,1,0,112,1900,Moreland,-37.7703,144.9533,Northern Metropolitan,11918
147,Brunswick,157 Albion St,2,h,770000,S,Nelson,15-10-2016,5.2,3056,2,1,0,152,87,1910,Moreland,-37.7611,144.966,Northern Metropolitan,11918
148,Brunswick,6/305 Albion St,1,u,279500,S,Walshe,15-10-2016,5.2,3056,1,1,1,0,51,1970,Moreland,-37.7597,144.9548,Northern Metropolitan,11918
149,Brunswick,177 Barkly St,4,h,1800000,VB,Nelson,15-10-2016,5.2,3056,4,2,3,271,180,1900,Moreland,-37.7769,144.9691,Northern Metropolitan,11918
150,Brunswick,30 Charles St,4,h,1350000,S,Nelson,15-10-2016,5.2,3056,4,1,1,370,151,1940,Moreland,-37.7728,144.9639,Northern Metropolitan,11918
151,Brunswick,113 Glenlyon Rd,4,h,1320000,S,Nelson,15-10-2016,5.2,3056,4,2,1,281,156,1920,Moreland,-37.7722,144.9681,Northern Metropolitan,11918
152,Brunswick,311 Albion St,3,h,825000,S,Nelson,16-04-2016,5.2,3056,3,1,1,210,130,1900,Moreland,-37.7597,144.9545,Northern Metropolitan,11918
156,Brunswick,175 Edward St,3,h,1261000,S,Nelson,16-04-2016,5.2,3056,2,1,1,216,100,1910,Moreland,-37.7746,144.9697,Northern Metropolitan,11918
157,Brunswick,84 Stewart St,3,h,1045000,S,Jellis,16-04-2016,5.2,3056,3,1,2,222,105,1890,Moreland,-37.7642,144.969,Northern Metropolitan,11918
158,Brunswick,215/1 Dods St,3,u,1044000,S,Jellis,16-07-2016,5.2,3056,3,1,1,0,85,2000,Moreland,-37.773,144.9624,Northern Metropolitan,11918
159,Brunswick,154 Brunswick Rd,3,h,1050000,SP,Nelson,17-09-2016,5.2,3056,3,1,1,239,126,1910,Moreland,-37.7776,144.963,Northern Metropolitan,11918
160,Brunswick,2 Chambers St,3,h,1691500,S,Nelson,17-09-2016,5.2,3056,3,2,3,470,152,1920,Moreland,-37.7788,144.9688,Northern Metropolitan,11918
161,Brunswick,54 Davies St,2,h,1075000,PI,Jellis,17-09-2016,5.2,3056,2,1,0,311,108,1930,Moreland,-37.7572,144.9687,Northern Metropolitan,11918
163,Brunswick,23/10 Breese St,2,u,501000,S,Nelson,18-03-2017,5.2,3056,2,1,1,1140,80,2010,Moreland,-37.7634,144.9616,Northern Metropolitan,11918
164,Brunswick,393A Brunswick Rd,3,h,1260000,S,Rendina,18-03-2017,5.2,3056,3,1,6,563,98,1960,Moreland,-37.7757,144.9505,Northern Metropolitan,11918
166,Brunswick,52 Evans St,3,h,1650000,S,Nelson,18-03-2017,5.2,3056,3,1,2,495,141,1920,Moreland,-37.7702,144.9672,Northern Metropolitan,11918
168,Brunswick,8/705 Park St,2,u,601000,S,Brad,18-03-2017,5.2,3056,2,1,1,0,57,1970,Moreland,-37.7778,144.9594,Northern Metropolitan,11918
170,Brunswick,17 Sutherland St,2,h,1015000,S,Nelson,18-03-2017,5.2,3056,2,1,0,453,86,1920,Moreland,-37.762,144.9547,Northern Metropolitan,11918
172,Brunswick,3 Ballarat St,1,t,625000,PI,Jellis,18-06-2016,5.2,3056,1,1,1,82,114,1930,Moreland,-37.7661,144.9614,Northern Metropolitan,11918
173,Brunswick,5 Black St,3,h,1700000,S,Collins,18-06-2016,5.2,3056,3,2,1,0,195,1945,Moreland,-37.7763,144.9597,Northern Metropolitan,11918
175,Brunswick,11/68 De Carle St,2,u,435000,SP,Jellis,18-06-2016,5.2,3056,2,1,1,0,57,1973,Moreland,-37.7597,144.9655,Northern Metropolitan,11918
178,Brunswick,222 Barkly St,5,h,2500000,S,Jellis,19-11-2016,5.2,3056,5,2,2,555,266,1890,Moreland,-37.7767,144.9645,Northern Metropolitan,11918
179,Brunswick,105 Dawson St,2,h,860000,PI,Jellis,19-11-2016,5.2,3056,2,1,1,298,88,1910,Moreland,-37.7704,144.9504,Northern Metropolitan,11918
180,Brunswick,10/66 De Carle St,2,u,491000,S,Jellis,19-11-2016,5.2,3056,2,1,1,1080,66,1960,Moreland,-37.7598,144.9655,Northern Metropolitan,11918
184,Brunswick,5 Hanover St,3,h,985000,S,Jellis,22-05-2016,5.2,3056,3,1,2,384,89,1940,Moreland,-37.7626,144.9535,Northern Metropolitan,11918
185,Brunswick,64 Hanover St,3,h,1250000,S,Ray,22-05-2016,5.2,3056,3,1,1,483,162,1890,Moreland,-37.7602,144.9543,Northern Metropolitan,11918
187,Brunswick,8/2 Pottery Ct,3,t,641000,SP,RW,22-05-2016,5.2,3056,3,2,1,0,112,1900,Moreland,-37.7703,144.9533,Northern Metropolitan,11918
190,Brunswick,58 Cassels Rd,3,h,860000,S,Ray,22-08-2016,5.2,3056,3,1,1,184,104,1890,Moreland,-37.7563,144.96,Northern Metropolitan,11918
196,Brunswick,35 Percy St,2,h,705000,S,Chambers,23-04-2016,5.2,3056,2,1,1,161,68,1910,Moreland,-37.7646,144.9586,Northern Metropolitan,11918
199,Brunswick,270 Albion St,3,h,880000,S,Nelson,24-09-2016,5.2,3056,3,1,1,264,117,1915,Moreland,-37.7603,144.9573,Northern Metropolitan,11918
201,Brunswick,2/18 De Carle St,2,t,754000,S,Nelson,24-09-2016,5.2,3056,2,2,1,177,105,2000,Moreland,-37.7625,144.9653,Northern Metropolitan,11918
203,Brunswick,5/6 Pottery Ct,2,u,590000,S,Woodards,24-09-2016,5.2,3056,2,1,1,0,74,2004,Moreland,-37.7703,144.9533,Northern Metropolitan,11918
204,Brunswick,2/6 Sydney Rd,2,u,575000,S,Nelson,24-09-2016,5.2,3056,2,1,1,0,66,1950,Moreland,-37.7775,144.9607,Northern Metropolitan,11918
206,Brunswick,28 Frederick St,3,h,1510000,S,Nelson,25-02-2017,5.2,3056,3,1,0,325,150,1920,Moreland,-37.7621,144.9595,Northern Metropolitan,11918
207,Brunswick,3/30 Heller St,2,t,801000,S,Jellis,25-02-2017,5.2,3056,2,2,1,156,87,2007,Moreland,-37.7744,144.9498,Northern Metropolitan,11918
208,Brunswick,32 Lobb St,3,t,820000,SP,Jellis,25-02-2017,5.2,3056,3,2,2,4668,126,2011,Moreland,-37.7687,144.9649,Northern Metropolitan,11918
209,Brunswick,10/285 Brunswick Rd,1,u,370000,S,Jellis,26-07-2016,5.2,3056,1,1,1,540,45,1970,Moreland,-37.7766,144.9574,Northern Metropolitan,11918
210,Brunswick,4 Frederick St,3,h,1170000,S,Nelson,26-07-2016,5.2,3056,3,1,0,285,104,1890,Moreland,-37.7634,144.9593,Northern Metropolitan,11918
211,Brunswick,4 Bell St,4,h,1790000,S,Ray,27-06-2016,5.2,3056,3,1,1,416,129,1920,Moreland,-37.7737,144.965,Northern Metropolitan,11918
212,Brunswick,2/123 Brunswick Rd,3,t,640000,PI,Walshe,27-06-2016,5.2,3056,3,2,1,110,118,2000,Moreland,-37.7776,144.9691,Northern Metropolitan,11918
214,Brunswick,36 Charles St,4,h,1875000,S,Jellis,27-06-2016,5.2,3056,4,2,2,657,207,1958,Moreland,-37.7725,144.964,Northern Metropolitan,11918
215,Brunswick,7 Garnet St,3,h,1053000,S,Ray,27-06-2016,5.2,3056,3,1,1,343,1041,1925,Moreland,-37.7589,144.9529,Northern Metropolitan,11918
217,Brunswick,11 William St,3,t,705000,PI,Nelson,27-06-2016,5.2,3056,2,1,1,55,111,2012,Moreland,-37.7611,144.9622,Northern Metropolitan,11918
221,Brunswick,7 Hall St,4,h,1217000,S,Walshe,27-11-2016,5.2,3056,4,1,0,363,127,1920,Moreland,-37.7621,144.9506,Northern Metropolitan,11918
222,Brunswick,7 Louisa St,3,h,1020000,SP,Jellis,27-11-2016,5.2,3056,3,1,3,308,119,1943,Moreland,-37.7649,144.9641,Northern Metropolitan,11918
225,Brunswick,26 Warburton St,3,h,1340000,S,Nelson,27-11-2016,5.2,3056,3,1,1,316,132,1910,Moreland,-37.7741,144.9703,Northern Metropolitan,11918
227,Brunswick,11 Denman St,4,h,1410000,PI,Jellis,28-05-2016,5.2,3056,4,2,1,460,214,1916,Moreland,-37.7554,144.9544,Northern Metropolitan,11918
228,Brunswick,19 Horne St,3,h,1550000,S,Nelson,28-05-2016,5.2,3056,3,1,1,346,126,1900,Moreland,-37.7738,144.9695,Northern Metropolitan,11918
229,Brunswick,30 Lobb St,3,h,740000,PI,Nelson,28-05-2016,5.2,3056,3,2,1,4676,122,2010,Moreland,-37.7687,144.9649,Northern Metropolitan,11918
231,Brunswick,2/22 Saxon St,2,u,592500,S,Nelson,28-05-2016,5.2,3056,2,1,2,0,89,2002,Moreland,-37.7706,144.9608,Northern Metropolitan,11918
233,Brunswick,11/6 Sydney Rd,1,u,370000,S,Nelson,28-05-2016,5.2,3056,1,1,1,0,54,1965,Moreland,-37.7775,144.9607,Northern Metropolitan,11918
234,Brunswick,46 Tinning St,2,h,765000,S,Nelson,28-05-2016,5.2,3056,2,1,1,199,120,1880,Moreland,-37.759,144.9597,Northern Metropolitan,11918
238,Brunswick,10 Cliff St,1,h,772000,SP,Collins,28-08-2016,5.2,3056,1,1,1,147,82,1890,Moreland,-37.7643,144.9584,Northern Metropolitan,11918
239,Brunswick,69 Glenlyon Rd,3,h,1210000,S,Nelson,28-08-2016,5.2,3056,3,2,1,280,130,1890,Moreland,-37.7719,144.9661,Northern Metropolitan,11918
240,Brunswick,25 Gray St,4,h,1755000,S,Jellis,28-08-2016,5.2,3056,4,2,1,354,199,1910,Moreland,-37.7745,144.9523,Northern Metropolitan,11918
244,Brunswick,411 Barkly St,2,h,945000,S,Jellis,30-07-2016,5.2,3056,2,1,2,246,103,1910,Moreland,-37.775,144.9536,Northern Metropolitan,11918
245,Brunswick,52 Talbot St,2,h,755000,S,Nelson,30-07-2016,5.2,3056,2,1,1,159,157,1930,Moreland,-37.7656,144.9562,Northern Metropolitan,11918
246,Brunswick West,8/7 Passfield St,2,u,521500,S,Peter,03-09-2016,5.9,3055,2,1,1,0,69,1960,Moreland,-37.768,144.9408,Northern Metropolitan,7082
248,Brunswick West,25 Wales St,3,h,1190000,S,Nelson,03-12-2016,5.9,3055,3,1,1,0,119,1920,Moreland,-37.7564,144.9422,Northern Metropolitan,7082
250,Brunswick West,2/13 Walker St,2,u,471000,S,Jellis,04-03-2017,5.9,3055,2,1,1,564,60,1970,Moreland,-37.7665,144.9425,Northern Metropolitan,7082
255,Brunswick West,1/455 Albion St,1,u,265000,PI,Walshe,07-05-2016,5.9,3055,1,1,1,0,42,2000,Moreland,-37.7586,144.9452,Northern Metropolitan,7082
256,Brunswick West,64 Pearson St,3,h,955000,S,hockingstuart,07-05-2016,5.9,3055,3,1,0,220,93,1930,Moreland,-37.7659,144.9494,Northern Metropolitan,7082
257,Brunswick West,497 Albion St,5,h,1350000,SP,Woodards,07-11-2016,5.9,3055,5,2,2,510,321,1997,Moreland,-37.7581,144.9414,Northern Metropolitan,7082
258,Brunswick West,11/7 Egginton St,2,t,380000,VB,Nelson,07-11-2016,5.9,3055,2,1,1,0,85,1970,Moreland,-37.7607,144.9393,Northern Metropolitan,7082
260,Brunswick West,12/881 Park St,1,u,300000,SP,Grantham,07-11-2016,5.9,3055,1,1,0,0,37,1960,Moreland,-37.7763,144.947,Northern Metropolitan,7082
261,Brunswick West,10 Yarrabin St,3,h,810000,S,Brad,07-11-2016,5.9,3055,3,1,2,349,95,1950,Moreland,-37.7589,144.9368,Northern Metropolitan,7082
265,Brunswick West,81 Melville Rd,3,h,793000,S,Ray,10-12-2016,5.9,3055,3,1,0,275,119,1935,Moreland,-37.763,144.9439,Northern Metropolitan,7082
266,Brunswick West,6/524 Moreland Rd,2,u,400000,SP,Nelson,10-12-2016,5.9,3055,2,1,1,73,64,1960,Moreland,-37.7528,144.9368,Northern Metropolitan,7082
267,Brunswick West,107/480 Albion St,2,u,400500,SP,Nelson,11-02-2017,5.9,3055,2,1,1,0,70,2013,Moreland,-37.7582,144.94,Northern Metropolitan,7082
268,Brunswick West,1/572 Moreland Rd,3,t,797500,S,Nelson,11-02-2017,5.9,3055,3,2,2,262,155,2010,Moreland,-37.7519,144.9324,Northern Metropolitan,7082
274,Brunswick West,121 Pearson St,3,h,1300000,PI,Jellis,12-11-2016,5.9,3055,3,1,2,364,135,1900,Moreland,-37.7618,144.9497,Northern Metropolitan,7082
275,Brunswick West,81 Whitby St,3,h,1330000,S,Nelson,12-11-2016,5.9,3055,3,1,2,353,101,1930,Moreland,-37.764,144.9428,Northern Metropolitan,7082
280,Brunswick West,2 Henderson St,7,h,1205000,S,Raine,15-10-2016,5.9,3055,7,3,1,447,287,1982,Moreland,-37.7634,144.9403,Northern Metropolitan,7082
282,Brunswick West,4/42 Passfield St,2,u,380000,PI,Jellis,15-10-2016,5.9,3055,2,1,1,0,62,1970,Moreland,-37.7676,144.9394,Northern Metropolitan,7082
283,Brunswick West,171 Union St,3,h,1095000,S,Nelson,15-10-2016,5.9,3055,3,1,1,411,168,1935,Moreland,-37.7728,144.9478,Northern Metropolitan,7082
284,Brunswick West,2/243 Union St,2,t,680000,VB,Nelson,15-10-2016,5.9,3055,2,1,1,0,82,1970,Moreland,-37.772,144.9406,Northern Metropolitan,7082
285,Brunswick West,201 Hope St,2,h,711000,S,Nelson,16-04-2016,5.9,3055,2,1,1,177,87,1910,Moreland,-37.7619,144.9412,Northern Metropolitan,7082
288,Brunswick West,5/8 Murray St,2,u,500000,S,Brad,16-07-2016,5.9,3055,2,1,1,0,75,1970,Moreland,-37.7595,144.9436,Northern Metropolitan,7082
290,Brunswick West,7/7 Allard St,2,u,385000,SP,Jellis,18-03-2017,5.9,3055,2,1,1,0,62,1970,Moreland,-37.7688,144.9421,Northern Metropolitan,7082
292,Brunswick West,3/546 Moreland Rd,2,u,370000,S,Ray,18-03-2017,5.9,3055,2,1,1,2120,59,1960,Moreland,-37.7524,144.9347,Northern Metropolitan,7082
293,Brunswick West,2/8 Walker St,1,u,320000,S,Jellis,18-06-2016,5.9,3055,1,1,1,0,43,1970,Moreland,-37.7661,144.9422,Northern Metropolitan,7082
297,Brunswick West,9/39 Heller St,1,u,330000,S,hockingstuart/Advantage,22-05-2016,5.9,3055,1,1,1,0,42,1970,Moreland,-37.7748,144.9483,Northern Metropolitan,7082
300,Brunswick West,542 Albion St,5,h,1200000,PI,Jellis,22-08-2016,5.9,3055,5,2,3,553,193,1920,Moreland,-37.7576,144.9348,Northern Metropolitan,7082
301,Brunswick West,6/86 Heller St,2,u,537000,SP,Jellis,22-08-2016,5.9,3055,2,1,1,501,66,1960,Moreland,-37.7741,144.9449,Northern Metropolitan,7082
302,Brunswick West,7 Morrow St,3,h,910000,S,Brad,22-08-2016,5.9,3055,3,1,2,717,141,1950,Moreland,-37.7525,144.9321,Northern Metropolitan,7082
303,Brunswick West,8/48 Passfield St,1,u,285000,PI,Walshe,22-08-2016,5.9,3055,1,1,1,0,45,1970,Moreland,-37.7675,144.939,Northern Metropolitan,7082
304,Brunswick West,9 Peacock St,4,h,921500,S,Ray,22-08-2016,5.9,3055,3,1,1,575,165,1930,Moreland,-37.7575,144.9402,Northern Metropolitan,7082
307,Brunswick West,1 Jordan St,2,h,1315000,S,Nelson,24-09-2016,5.9,3055,2,1,2,554,116,1930,Moreland,-37.7715,144.9426,Northern Metropolitan,7082
308,Brunswick West,8/109 Melville Rd,2,u,370000,VB,Nelson,24-09-2016,5.9,3055,2,1,1,0,65,1970,Moreland,-37.7606,144.9443,Northern Metropolitan,7082
309,Brunswick West,1/464 Victoria St,2,t,735000,S,Jellis,24-09-2016,5.9,3055,2,1,2,120,109,2004,Moreland,-37.7659,144.9487,Northern Metropolitan,7082
310,Brunswick West,15 Wallace St,4,h,1000000,S,Nelson,24-09-2016,5.9,3055,3,1,1,589,148,1935,Moreland,-37.7628,144.9459,Northern Metropolitan,7082
311,Brunswick West,10/446 Albion St,1,u,252000,PI,McDonald,25-02-2017,5.9,3055,1,1,1,0,45,1970,Moreland,-37.7586,144.9433,Northern Metropolitan,7082
314,Brunswick West,871 Park St,4,h,1700000,PI,Jellis,25-02-2017,5.9,3055,4,2,2,621,184,1920,Moreland,-37.7764,144.9479,Northern Metropolitan,7082
